start,end,length,filtered_values
1,1,1,"[{""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
2,2,1,"[{""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
3,3,1,"[{""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
4,4,1,"[{""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
5,5,1,"[{""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
6,6,1,"[{""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
7,7,1,"[{""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
8,8,1,"[{""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
9,9,1,"[{""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
10,10,1,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}, {""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
11,11,1,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}, {""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
12,12,1,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}, {""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
13,13,1,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}, {""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
14,14,1,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}, {""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
15,15,1,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}, {""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
16,16,1,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}, {""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
17,17,1,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}, {""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
18,18,1,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}, {""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
19,19,1,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}, {""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
20,20,1,"[{""id"": ""initialSellingPriceAmount13"", ""value"": ""8.8"", ""remarks"": ""5x higher multiplier in years 10-20""}, {""id"": ""plantLifetimeAmount10"", ""value"": ""20"", ""remarks"": ""hi""}]"
