Year,Revenue,Operating Expenses,Loan,Depreciation,State Taxes,Federal Taxes,After-Tax Cash Flow,Discounted Cash Flow,Cumulative Cash Flow
1,0,-300000,0,0,0,0,0,0,-300000
2,58030,42001,0,16029,0,0,16029,15265,-284734
3,58030,42001,0,16029,0,0,16029,15265,-269468
4,58030,42001,0,16029,0,0,16029,15265,-254202
5,58030,42001,0,16029,0,0,16029,15265,-238937
6,58030,42001,0,16029,0,0,16029,15265,-223671
7,58030,42001,0,16029,0,0,16029,15265,-208405
8,58030,42001,0,16029,0,0,16029,15265,-193140
9,58030,42001,0,16029,0,0,16029,15265,-177874
10,58030,42001,0,16029,0,0,16029,15265,-162608
11,58030,42001,0,16029,0,0,16029,15265,-147342
12,58030,42001,0,16029,0,0,16029,15265,-132077
13,58030,42001,0,16029,0,0,16029,15265,-116811
14,58030,42001,0,16029,0,0,16029,15265,-101545
15,58030,42001,0,16029,0,0,16029,15265,-86280
16,58030,42001,0,16029,0,0,16029,15265,-71014
17,58030,42001,0,16029,0,0,16029,15265,-55748
18,58030,42001,0,16029,0,0,16029,15265,-40482
19,58030,42001,0,16029,0,0,16029,15265,-25217
20,58030,42001,0,11478,227,955,14845,14138,-11078
21,58030,42001,0,0,801,3366,11861,11296,218
