Year,RF1,RF2,RF3,RF4,RF5,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Revenue
1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,70299
2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,70299
3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,70299
4,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,70299
5,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,70299
6,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,70299
7,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,70299
8,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,70299
9,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,70299
10,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,60000
11,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,60000
12,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,60000
13,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,72000
14,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,72000
15,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,72000
16,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,72000
17,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,72000
18,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,72000
19,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,72000
20,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,72000
