Year,F1,F2,F3,F4,F5,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Operating Expenses
1,10200,24480,5100,2550,510,1,0,0,0,0,0,0,0,0,0,42841
2,10424,25018,5212,2606,521,1,0,0,0,0,0,0,0,0,0,43782
3,10664,25594,5332,2666,533,1,0,0,0,0,0,0,0,0,0,44790
4,10915,26196,5458,2729,546,1,0,0,0,0,0,0,0,0,0,45845
5,11323,27175,5662,2831,566,1,0,0,0,0,0,0,0,0,0,47558
6,11426,27422,5713,2856,571,1,0,0,0,0,0,0,0,0,0,47989
7,11662,27989,5831,2915,583,1,0,0,0,0,0,0,0,0,0,48981
8,11980,28752,5990,2995,599,1,0,0,0,0,0,0,0,0,0,50317
9,12246,29390,6123,3062,612,1,0,0,0,0,0,0,0,0,0,51434
10,12400,29760,6200,3100,620,1,0,0,0,0,0,0,0,0,0,52081
11,12424,29818,6212,3106,621,1,0,0,0,0,0,0,0,0,0,52182
12,12424,29818,6212,3106,621,1,0,0,0,0,0,0,0,0,0,52182
13,12451,29882,6226,3113,623,1,0,0,0,0,0,0,0,0,0,52296
14,12668,30403,6334,3167,633,1,0,0,0,0,0,0,0,0,0,53206
15,12881,30914,6440,3220,644,1,0,0,0,0,0,0,0,0,0,54100
16,13032,31277,6516,3258,652,1,0,0,0,0,0,0,0,0,0,54736
17,13104,31450,6552,3276,655,1,0,0,0,0,0,0,0,0,0,55038
18,13382,32117,6691,3346,669,1,0,0,0,0,0,0,0,0,0,56206
19,14415,34596,7208,3604,721,1,0,0,0,0,0,0,0,0,0,60545
20,14415,34596,7208,3604,721,1,0,0,0,0,0,0,0,0,0,60545
