Year,F1,F2,F3,F4,F5
1,10200,24480,5100,2550,510
2,10424,25018,5212,2606,521
3,10664,25594,5332,2666,533
4,10915,26196,5458,2729,546
5,11323,27175,5662,2831,566
6,11426,27422,5713,2856,571
7,11662,27989,5831,2915,583
8,11980,28752,5990,2995,599
9,12246,29390,6123,3062,612
10,12400,29760,6200,3100,620
11,12424,29818,6212,3106,621
12,12424,29818,6212,3106,621
13,12451,29882,6226,3113,623
14,12668,30403,6334,3167,633
15,12881,30914,6440,3220,644
16,13032,31277,6516,3258,652
17,13104,31450,6552,3276,655
18,13382,32117,6691,3346,669
19,14415,34596,7208,3604,721
20,14415,34596,7208,3604,721
