Year,Revenue,Operating Expenses,Loan,Depreciation,State Taxes,Federal Taxes,After-Tax Cash Flow,Discounted Cash Flow,Cumulative Cash Flow
1,0,-200000,0,0,0,0,0,0,-200000
2,51772,42840,0,8932,0,0,8932,8506,-191493
3,52909,43781,0,9128,0,0,9128,8693,-182800
4,54127,44789,0,9338,0,0,9338,8893,-173906
5,55401,45844,0,9557,0,0,9557,9101,-164804
6,57472,47557,0,9915,0,0,9915,9442,-155361
7,57994,47988,0,10006,0,0,10006,9529,-145832
8,59192,48980,0,10212,0,0,10212,9725,-136106
9,60806,50316,0,10490,0,0,10490,9990,-126116
10,62156,51433,0,10723,0,0,10723,10212,-115903
11,62938,52080,0,10858,0,0,10858,10340,-105562
12,63060,52181,0,10879,0,0,10879,10360,-95201
13,63060,52181,0,10879,0,0,10879,10360,-84840
14,63197,52295,0,10902,0,0,10902,10382,-74458
15,64298,53205,0,11093,0,0,11093,10564,-63893
16,65379,54099,0,11280,0,0,11280,10742,-53150
17,66146,54735,0,11411,0,0,11411,10867,-42282
18,66511,55037,0,11474,0,0,11474,10927,-31355
19,67922,56205,0,11717,0,0,11717,11159,-20196
20,73166,60544,0,11206,70,297,12253,11670,-8525
21,73166,60544,0,0,631,2650,9340,8895,369
