start,end,length,filtered_values
1,2,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.020"", ""remarks"": ""2004""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.0424"", ""remarks"": ""2005""}, {""id"": ""iRRAmount30"", ""value"": ""0.020"", ""remarks"": ""2004""}, {""id"": ""iRRAmount30"", ""value"": ""0.0404"", ""remarks"": ""2005""}]"
2,3,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.0424"", ""remarks"": ""2005""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.0664"", ""remarks"": ""2006""}, {""id"": ""iRRAmount30"", ""value"": ""0.0404"", ""remarks"": ""2005""}, {""id"": ""iRRAmount30"", ""value"": ""0.0620"", ""remarks"": ""2006""}]"
3,4,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.0664"", ""remarks"": ""2006""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.0915"", ""remarks"": ""2007""}, {""id"": ""iRRAmount30"", ""value"": ""0.0620"", ""remarks"": ""2006""}, {""id"": ""iRRAmount30"", ""value"": ""0.0859"", ""remarks"": ""2007""}]"
4,5,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.0915"", ""remarks"": ""2007""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.1323"", ""remarks"": ""2008""}, {""id"": ""iRRAmount30"", ""value"": ""0.0859"", ""remarks"": ""2007""}, {""id"": ""iRRAmount30"", ""value"": ""0.1126"", ""remarks"": ""2008""}, {""id"": ""initialSellingPriceAmount13"", ""value"": ""2.4"", ""remarks"": ""a""}]"
5,6,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.1323"", ""remarks"": ""2008""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.1426"", ""remarks"": ""2009""}, {""id"": ""iRRAmount30"", ""value"": ""0.1126"", ""remarks"": ""2008""}, {""id"": ""iRRAmount30"", ""value"": ""0.1419"", ""remarks"": ""2009""}, {""id"": ""initialSellingPriceAmount13"", ""value"": ""2.4"", ""remarks"": ""a""}]"
6,7,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.1426"", ""remarks"": ""2009""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.1662"", ""remarks"": ""2010""}, {""id"": ""iRRAmount30"", ""value"": ""0.1419"", ""remarks"": ""2009""}, {""id"": ""iRRAmount30"", ""value"": ""0.1743"", ""remarks"": ""2010""}, {""id"": ""initialSellingPriceAmount13"", ""value"": ""2.4"", ""remarks"": ""a""}]"
7,8,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.1662"", ""remarks"": ""2010""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.1980"", ""remarks"": ""2011""}, {""id"": ""iRRAmount30"", ""value"": ""0.1743"", ""remarks"": ""2010""}, {""id"": ""iRRAmount30"", ""value"": ""0.2099"", ""remarks"": ""2011""}, {""id"": ""initialSellingPriceAmount13"", ""value"": ""2.4"", ""remarks"": ""a""}]"
8,9,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.1980"", ""remarks"": ""2011""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.2246"", ""remarks"": ""2012""}, {""id"": ""iRRAmount30"", ""value"": ""0.2099"", ""remarks"": ""2011""}, {""id"": ""iRRAmount30"", ""value"": ""0.2488"", ""remarks"": ""2012""}, {""id"": ""initialSellingPriceAmount13"", ""value"": ""2.4"", ""remarks"": ""a""}]"
9,10,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.2246"", ""remarks"": ""2012""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.2400"", ""remarks"": ""2013""}, {""id"": ""iRRAmount30"", ""value"": ""0.2488"", ""remarks"": ""2012""}, {""id"": ""iRRAmount30"", ""value"": ""0.2912"", ""remarks"": ""2013""}, {""id"": ""initialSellingPriceAmount13"", ""value"": ""2.4"", ""remarks"": ""a""}]"
10,11,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.2400"", ""remarks"": ""2013""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.2424"", ""remarks"": ""2014""}, {""id"": ""iRRAmount30"", ""value"": ""0.2912"", ""remarks"": ""2013""}, {""id"": ""iRRAmount30"", ""value"": ""0.3372"", ""remarks"": ""2014""}, {""id"": ""initialSellingPriceAmount13"", ""value"": ""2.4"", ""remarks"": ""a""}]"
11,12,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.2424"", ""remarks"": ""2014""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.2424"", ""remarks"": ""2015""}, {""id"": ""iRRAmount30"", ""value"": ""0.3372"", ""remarks"": ""2014""}, {""id"": ""iRRAmount30"", ""value"": ""0.3869"", ""remarks"": ""2015""}, {""id"": ""initialSellingPriceAmount13"", ""value"": ""2.4"", ""remarks"": ""a""}]"
12,13,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.2424"", ""remarks"": ""2015""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.2451"", ""remarks"": ""2016""}, {""id"": ""iRRAmount30"", ""value"": ""0.3869"", ""remarks"": ""2015""}, {""id"": ""iRRAmount30"", ""value"": ""0.4406"", ""remarks"": ""2016""}, {""id"": ""initialSellingPriceAmount13"", ""value"": ""2.4"", ""remarks"": ""a""}]"
13,14,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.2451"", ""remarks"": ""2016""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.2668"", ""remarks"": ""2017""}, {""id"": ""iRRAmount30"", ""value"": ""0.4406"", ""remarks"": ""2016""}, {""id"": ""iRRAmount30"", ""value"": ""0.4983"", ""remarks"": ""2017""}, {""id"": ""initialSellingPriceAmount13"", ""value"": ""2.4"", ""remarks"": ""a""}]"
14,15,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.2668"", ""remarks"": ""2017""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.2881"", ""remarks"": ""2018""}, {""id"": ""iRRAmount30"", ""value"": ""0.4983"", ""remarks"": ""2017""}, {""id"": ""iRRAmount30"", ""value"": ""0.5602"", ""remarks"": ""2018""}, {""id"": ""initialSellingPriceAmount13"", ""value"": ""2.4"", ""remarks"": ""a""}]"
15,16,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.2881"", ""remarks"": ""2018""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.3032"", ""remarks"": ""2019""}, {""id"": ""iRRAmount30"", ""value"": ""0.5602"", ""remarks"": ""2018""}, {""id"": ""iRRAmount30"", ""value"": ""0.6264"", ""remarks"": ""2019""}]"
16,17,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.3032"", ""remarks"": ""2019""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.3104"", ""remarks"": ""2020""}, {""id"": ""iRRAmount30"", ""value"": ""0.6264"", ""remarks"": ""2019""}, {""id"": ""iRRAmount30"", ""value"": ""0.6970"", ""remarks"": ""2020""}]"
17,18,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.3104"", ""remarks"": ""2020""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.3382"", ""remarks"": ""2021""}, {""id"": ""iRRAmount30"", ""value"": ""0.6970"", ""remarks"": ""2020""}, {""id"": ""iRRAmount30"", ""value"": ""0.7722"", ""remarks"": ""2021""}]"
18,19,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.3382"", ""remarks"": ""2021""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.4415"", ""remarks"": ""2022""}, {""id"": ""iRRAmount30"", ""value"": ""0.7722"", ""remarks"": ""2021""}, {""id"": ""iRRAmount30"", ""value"": ""0.8521"", ""remarks"": ""2022""}]"
19,20,2,"[{""id"": ""generalInflationRateAmount23"", ""value"": ""0.4415"", ""remarks"": ""2022""}, {""id"": ""generalInflationRateAmount23"", ""value"": ""0.5035"", ""remarks"": ""2023""}, {""id"": ""iRRAmount30"", ""value"": ""0.8521"", ""remarks"": ""2022""}, {""id"": ""iRRAmount30"", ""value"": ""0.9369"", ""remarks"": ""2023""}]"
