Year,Revenue,Operating Expenses,Loan,Depreciation,State Taxes,Federal Taxes,After-Tax Cash Flow,Discounted Cash Flow,Cumulative Cash Flow
1,0,-200000,0,0,0,0,0,0,-200000
2,62066,42840,0,19226,0,0,19226,18310,-181689
3,63430,43781,0,19649,0,0,19649,18713,-162976
4,64890,44789,0,20101,0,0,20101,19143,-143832
5,66417,45844,0,20573,0,0,20573,19593,-124239
6,68900,47557,0,21343,0,0,21343,20326,-103912
7,69527,47988,0,21539,0,0,21539,20513,-83399
8,70963,48980,0,21983,0,0,21983,20936,-62462
9,72898,50316,0,22582,0,0,22582,21506,-40956
10,74516,51433,0,23083,0,0,23083,21983,-18972
11,74400,52080,0,9921,619,2603,19096,18186,-785
12,74544,52181,0,0,1118,4696,16548,15760,14975
13,74544,52181,0,0,1118,4696,16548,15760,30735
14,74706,52295,0,0,1120,4706,16584,15794,46530
15,76008,53205,0,0,1140,4788,16874,16070,62600
16,77286,54099,0,0,1159,4869,17158,16341,78942
17,78192,54735,0,0,1172,4925,17358,16531,95473
18,78624,55037,0,0,1179,4953,17454,16623,112096
19,80292,56205,0,0,1204,5058,17824,16975,129072
20,86490,60544,0,0,1297,5448,19200,18285,147358
21,86490,60544,0,0,1297,5448,19200,18285,165644
