start,end,length,filtered_values
1,1,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.020"", ""remarks"": ""2004""}, {""id"": ""iRRAmount3"", ""value"": ""0.020"", ""remarks"": ""2004""}]"
2,2,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.0424"", ""remarks"": ""2005""}, {""id"": ""iRRAmount3"", ""value"": ""0.0404"", ""remarks"": ""2005""}]"
3,3,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.0664"", ""remarks"": ""2006""}, {""id"": ""iRRAmount3"", ""value"": ""0.0620"", ""remarks"": ""2006""}]"
4,4,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.0915"", ""remarks"": ""2007""}, {""id"": ""iRRAmount3"", ""value"": ""0.0859"", ""remarks"": ""2007""}]"
5,5,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.1323"", ""remarks"": ""2008""}, {""id"": ""iRRAmount3"", ""value"": ""0.1126"", ""remarks"": ""2008""}]"
6,6,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.1426"", ""remarks"": ""2009""}, {""id"": ""iRRAmount3"", ""value"": ""0.1419"", ""remarks"": ""2009""}]"
7,7,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.1662"", ""remarks"": ""2010""}, {""id"": ""iRRAmount3"", ""value"": ""0.1743"", ""remarks"": ""2010""}]"
8,8,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.1980"", ""remarks"": ""2011""}, {""id"": ""iRRAmount3"", ""value"": ""0.2099"", ""remarks"": ""2011""}]"
9,9,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.2246"", ""remarks"": ""2012""}, {""id"": ""iRRAmount3"", ""value"": ""0.2488"", ""remarks"": ""2012""}]"
10,10,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.2400"", ""remarks"": ""2013""}, {""id"": ""iRRAmount3"", ""value"": ""0.2912"", ""remarks"": ""2013""}]"
11,11,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.2424"", ""remarks"": ""2014""}, {""id"": ""iRRAmount3"", ""value"": ""0.3372"", ""remarks"": ""2014""}]"
12,12,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.2424"", ""remarks"": ""2015""}, {""id"": ""iRRAmount3"", ""value"": ""0.3869"", ""remarks"": ""2015""}]"
13,13,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.2451"", ""remarks"": ""2016""}, {""id"": ""iRRAmount3"", ""value"": ""0.4406"", ""remarks"": ""2016""}]"
14,14,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.2668"", ""remarks"": ""2017""}, {""id"": ""iRRAmount3"", ""value"": ""0.4983"", ""remarks"": ""2017""}]"
15,15,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.2881"", ""remarks"": ""2018""}, {""id"": ""iRRAmount3"", ""value"": ""0.5602"", ""remarks"": ""2018""}]"
16,16,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.3032"", ""remarks"": ""2019""}, {""id"": ""iRRAmount3"", ""value"": ""0.6264"", ""remarks"": ""2019""}]"
17,17,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.3104"", ""remarks"": ""2020""}, {""id"": ""iRRAmount3"", ""value"": ""0.6970"", ""remarks"": ""2020""}]"
18,18,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.3382"", ""remarks"": ""2021""}, {""id"": ""iRRAmount3"", ""value"": ""0.7722"", ""remarks"": ""2021""}]"
19,19,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.4415"", ""remarks"": ""2022""}, {""id"": ""iRRAmount3"", ""value"": ""0.8521"", ""remarks"": ""2022""}]"
20,20,1,"[{""id"": ""generalInflationRateAmount2"", ""value"": ""0.5035"", ""remarks"": ""2023""}, {""id"": ""iRRAmount3"", ""value"": ""0.9369"", ""remarks"": ""2023""}]"
